post_title,slug,sous_titre,cat_cours,prof_login,jour_de_cours,heure_debut,heure_de_fin,tarif_cours,info_complementaire,description_cours,pedagogie,echauffement_time,echauffement_description,exercice_time,exercice_description,choregraphie_time,choregraphie_description,styles_musiques,tenue,complete_cours,yoast_focus_kw,yoast_title,yoast_meta_desc,yoast_og_title,yoast_og_desc,notes
Circuit Swing,circuit-swing,,a-deux,marionlaurent,03day,21h,22h,,En couple ou en solo (rotation),"Le Circuit Swing (West Coast Swing) est LA danse à deux tendance pour danser sur presque toutes les musiques actuelles. Basé sur l'élasticité et la connexion entre les partenaires, ce format dynamique booste la créativité sociale et vous permet de briller en soirée de façon décontractée.","Apprentissage des structures linéaires fondamentales du WCS, du jeu asymétrique leader/follower, et de la réactivité à la ligne de basse. Une grande place est laissée au plaisir de la glisse et à l'amusement partagé.",10 min,"Préparation de l'élasticité corporelle, transfert de poids rythmé, écoute musicale.",20/30 min,"Figures de base (sugar push, passes), posture de connexion parfaite, stretch and release.",20/30 min,"Pratique de bal sur différentes vitesses, adaptation du style aux breaks musicaux.","R&B, funk, pop contemporaine, blues, acoustique.",Vêtements de tous les jours souples. Chaussures fermées à semelles lisses indispensables.,0,cours west coast swing,,Apprenez le West Coast Swing à Villeneuve d'Ascq avec le cours exclusif Circuit Swing.,,Apprenez le West Coast Swing à Villeneuve d'Ascq avec le cours exclusif Circuit Swing.,
Danse moderne,danse-moderne-grands-debutants,Grands débutants,danse-solo,charlotte,04day,12h30,13h30,,Débuter sans pression,"Vous n'avez jamais dansé ? Ce niveau 'grands débutants' est votre point de départ en douceur. On prend le temps d'appréhender le corps, le rythme et l'espace sans complexité technique. L'ambiance y est relaxée, idéale pour une parenthèse créative pendant la pause déjeuner !","Dédramatisation et plaisir de bouger avant tout ! Les exercices sont répétés avec patience pour asseoir les bases du placement moderne, la gestion du poids et fluidité.",10 min,"Réveil articulaire très doux, centrage, respiration connectée au mouvement.",20/30 min,"Marches dansées simples, mémorisation de pas de base lents, conscience spatiale.",20/30 min,Petite phrase mémorisable axée sur la beauté des bras et le confort corporel.,"Musiques instrumentales calmes, chanson française moderne, ballades aériennes.",Tenue loose et confo. Pieds nus ou chaussettes.,0,cours danse debutant absolu,,Osez la danse ! Cours pour adultes grands débutants le midi à Villeneuve d'Ascq.,,Osez la danse ! Cours pour adultes grands débutants le midi à Villeneuve d'Ascq.,
K-Pop,k-pop-jeudi,,danse-solo,asmy,04day,17h,18h,,Prévoir une tenue et chaussures adaptées au cours,"Plonge dans la culture K-Pop avec une énergie débordante ! On apprend les chorégraphies officielles de tes groupes préférés (BTS, Blackpink, NewJeans) tout en explorant le style unique des idols. C'est un cours festif, intense et ultra-motivant pour tous les fans de performance.","Dès le premier trimestre, on s'imprègne de la culture idol avec un premier cover collectif. Puis on explore différentes générations de K-Pop pour enrichir ton style. L'année se termine par un projet cover complet où la synchronisation et l'attitude sont les maîtres-mots.",10 min,"Groove collectif K-Pop : cardio en dansant, travail des signatures moves des groupes iconiques",20/30 min,"Travail du count et de la précision, exercices de synchronisation, point count des chorégraphies",20/30 min,"Cover officiel ou chorégraphie K-Pop inspirée - la partie préférée de la séance, toujours festive","K-Pop tous genres (EXO, BTS, TWICE, BLACKPINK, aespa, Stray Kids, NewJeans), afro K-Pop, EDM coréenne, J-Pop complémentaire","Tenue K-Pop fun : streetwear, couleurs, accessoires sont les bienvenus ! Sneakers propres ou chaussures de danse légères à semelle plate.",0,cours K-Pop adultes Villeneuve d'Ascq,,Cours de K-Pop adultes à Villeneuve d'Ascq. Chorégraphies hits coréens. Tous niveaux.,,Cours de K-Pop adultes à Villeneuve d'Ascq. Chorégraphies hits coréens. Tous niveaux.,
Contemporain,contemporain-debutants,Débutants,danse-solo,perle,04day,18h,19h,,Prévoir une tenue et chaussures adaptées au cours,"Une invitation à explorer le mouvement en toute liberté. On joue avec la gravité, le contact au sol et la fluidité pour découvrir une nouvelle façon de bouger. C'est un espace bienveillant où tu apprends les bases du contemporain tout en trouvant ton propre chemin artistique.","On commence par les principes du poids et du souffle pour libérer le mouvement. Au deuxième trimestre, on s'initie à l'improvisation et à la fluidité au sol. L'année se clôture par une création collective où chacun peut exprimer sa sensibilité unique.",10 min,"Conscience corporelle douce : exploration du poids au sol, rolling, mobilisation de la colonne vertèbre par vertèbre",20/30 min,"Exercices de release : laisser tomber le poids, utiliser l'élan, jeux avec la gravité, travail en duo ou seul",20/30 min,"Phrase de mouvement proposée, laissant de la place à la sensibilité de chacun - pas de 'bonne façon', juste une proposition","Musique classique contemporaine (Philip Glass, Steve Reich), ambient (Brian Eno, Jon Hopkins), silence et voix, electronic downtempo","Tenue très confortable pour le travail au sol : legging ou pantalon souple, t-shirt ou sweat. Pieds nus absolument.",0,cours danse contemporaine Villeneuve d'Ascq,,Découvrez la danse contemporaine à Villeneuve d'Ascq. Fluidité et expression. Débutants.,,Découvrez la danse contemporaine à Villeneuve d'Ascq. Fluidité et expression. Débutants.,
Contemporain,contemporain-intermediaires,Intermédiaires,danse-solo,perle,04day,19h,20h,,Prévoir une tenue et chaussures adaptées au cours,"Pour les danseurs qui veulent approfondir leur langage corporel. On complexifie les enchaînements, on travaille sur l'écriture chorégraphique et on explore des techniques plus exigeantes au sol. C'est un cours idéal pour affiner ta technique tout en développant une identité artistique forte.","On approfondit une technique spécifique dès la rentrée tout en travaillant la composition personnelle. Au milieu d'année, on étudie des pièces du répertoire pour enrichir ta pratique. L'année aboutit sur une création collective ambitieuse de plusieurs minutes.",10 min,"Technique spécifique de mise en route : warming-up Cunningham, floor work release",20/30 min,"Exercices techniques avancés : battu, grand battement, développé, séquences complexes bras/jambes, traveling",20/30 min,Travail de composition et d'interprétation : comment habite-t-on une phrase chorégraphique ? Quel sens lui donne-t-on ?,"Compositeurs contemporains (Arvo Pärt, Sofia Gubaidulina, Meredith Monk), electronic expérimental, silence, voix a cappella",Tenue de danse technique : justaucorps ou legging + haut ajusté pour voir les alignements. Pieds nus.,0,cours contemporain intermediaire Lille,,Approfondissez le contemporain à Villeneuve d'Ascq. Technique et liberté du mouvement.,,Approfondissez le contemporain à Villeneuve d'Ascq. Technique et liberté du mouvement.,
Danse moderne,danse-moderne-debutants,Débutants,danse-solo,charlotte,04day,20h,21h,,Prévoir une tenue et chaussures adaptées au cours,"Construis des bases solides dans un style moderne vivant et expressif. On travaille ton placement, ta coordination et ta musicalité de façon structurée mais toujours avec plaisir. C'est le niveau parfait pour ceux qui veulent progresser sérieusement tout en s'amusant sur des musiques actuelles.",On se concentre d'abord sur le placement et la respiration dansée. Puis on complexe la coordination avec des enchaînements plus dynamiques. L'année se termine par une chorégraphie moderne complète à présenter lors du gala.,10 min,"Travail au sol et debout : enroulements, oscillations, prise de conscience du poids et du contact du sol",20/30 min,"Séquences techniques progressives : portés de jambe, pivots, développés, combinaisons bras/jambes/déplacements",20/30 min,"Phrase chorégraphique moderne apprise et mémorisée progressivement, avec travail de l'interprétation","Pop française contemporaine (Angèle, Stromae, Pomme), musiques de films français (Yann Tiersen, Alexandre Desplat), quelques classiques revisités","Legging ou jogging confortable, haut permettant de voir le buste. Pieds nus sur le parquet ou chaussettes antidérapantes.",0,cours danse moderne adulte Villeneuve d'Ascq,,Cours de danse moderne adultes débutants à Villeneuve d'Ascq. Technique et musicalité.,,Cours de danse moderne adultes débutants à Villeneuve d'Ascq. Technique et musicalité.,
Danse moderne,danse-moderne-intermediaires,Intermédiaires,danse-solo,charlotte,04day,21h,22h,,Prévoir une tenue et chaussures adaptées au cours,"Tu as déjà une pratique régulière ? Viens affiner ta technique et ton style personnel. On travaille sur des chorégraphies élaborées, l'utilisation de l'espace et l'interprétation. C'est un cours exigeant qui te pousse à donner le meilleur de toi-même artistiquement.","On commence par une technique contemporaine approfondie et le travail des connexions au sol. Au deuxième trimestre, l'accent est mis sur ta signature personnelle et l'occupation de l'espace. On termine l'année sur une pièce chorégraphique complète.",10 min,"Travail proprioceptif profond : scan corporel au sol, roll-up vertébraux, stretching actif du grand rond",20/30 min,"Technique avancée : grands battements, arabesque, dégagés, chutes avec récupération, portés de jambe libres",20/30 min,"Pièce chorégraphique exigeante avec travail de la mémoire du corps, de l'intention et de la transmission émotionnelle","Contemporain international (Nils Frahm, Ólafur Arnalds), post-rock (Sigur Rós), électro atmosphérique, folk français","Tenue de danse contemporaine adaptée : justaucorps, legging technique. Pieds nus recommandés.",0,cours danse moderne intermediaire Lille,,Progressez en danse moderne à Villeneuve d'Ascq. Chorégraphies élaborées. Niveau intermédiaire.,,Progressez en danse moderne à Villeneuve d'Ascq. Chorégraphies élaborées. Niveau intermédiaire.,
Dance workout,dance-workout-vendredi,,danse-solo,,05day,12h30,13h30,,Prévoir une tenue de sport adaptée,"Un cours dynamique pour se dépenser en rythme ! Le Dance Workout combine cardio, renforcement musculaire et mouvements de danse ludiques pour une remise en forme joyeuse et motivante. Idéal pour évacuer le stress et gagner en endurance sur des musiques entraînantes.","Le cours propose une série de blocs chorégraphiés répétitifs et accessibles, axés sur la dépense énergétique et la bonne humeur. Chaque séance est construite pour faire monter le rythme cardiaque tout en tonifiant l'ensemble du corps.",10 min,Mise en route cardio et articulaire pour préparer le corps à l'effort continu.,20/30 min,"Séquences de renforcement en mouvement, ciblant cuisses, fessiers et sangle abdominale de manière rythmée.",20/30 min,"Enchaînements chorégraphiés de type fitness, faciles à suivre, axés sur l'amplitude et l'énergie.","Hits pop-dance actuels, remixes dynamiques, reggaeton, électro motivante.","Tenue de sport confortable (legging, brassière, t-shirt respirant). Baskets de fitness avec un bon amorti en salle.",0,dance workout villeneuve d'ascq,,"Découvrez le Dance Workout à Villeneuve d'Ascq. Cardio, renforcement et fun en musique !",,"Découvrez le Dance Workout à Villeneuve d'Ascq. Cardio, renforcement et fun en musique !",
K-Pop,k-pop-vendredi,,danse-solo,asmy,05day,17h,18h,,Prévoir une tenue et chaussures adaptées au cours,"Plonge dans la culture K-Pop avec une énergie débordante ! On apprend les chorégraphies officielles de tes groupes préférés (BTS, Blackpink, NewJeans) tout en explorant le style unique des idols. C'est un cours festif, intense et ultra-motivant pour tous les fans de performance.","Dès le premier trimestre, on s'imprègne de la culture idol avec un premier cover collectif. Puis on explore différentes générations de K-Pop pour enrichir ton style. L'année se termine par un projet cover complet où la synchronisation et l'attitude sont les maîtres-mots.",10 min,"Groove collectif K-Pop : cardio en dansant, travail des signatures moves des groupes iconiques",20/30 min,"Travail du count et de la précision, exercices de synchronisation, point count des chorégraphies",20/30 min,"Cover officiel ou chorégraphie K-Pop inspirée - la partie préférée de la séance, toujours festive","K-Pop tous genres (EXO, BTS, TWICE, BLACKPINK, aespa, Stray Kids, NewJeans), afro K-Pop, EDM coréenne, J-Pop complémentaire","Tenue K-Pop fun : streetwear, couleurs, accessoires sont les bienvenus ! Sneakers propres ou chaussures de danse légères à semelle plate.",0,cours K-Pop adultes Villeneuve d'Ascq,,Cours de K-Pop adultes à Villeneuve d'Ascq. Chorégraphies hits coréens. Tous niveaux.,,Cours de K-Pop adultes à Villeneuve d'Ascq. Chorégraphies hits coréens. Tous niveaux.,
Dance solo,dance-solo,,danse-solo,charlotte,05day,18h,19h,,Prévoir une tenue et chaussures adaptées au cours,"Un laboratoire de création pour explorer tous les styles : moderne, jazz, contemporain... Chaque séance est une nouvelle découverte autour d'une thématique ou d'une musique particulière. C'est le cours idéal pour les esprits curieux qui veulent nourrir leur danse de mille inspirations.","Le programme de dance solo varie chaque trimestre selon les envies du groupe et les projets de l'année. Un trimestre peut explorer la danse moderne contemporaine, un autre le jazz de style ou la danse française. L'objectif commun est de développer une danse singulière et personnelle.",10 min,Mise en mouvement créative qui introduisent déjà le cours par une petite routine agréable !,20/30 min,Technique et exercices propres au style du jour - toujours dans une logique de découverte et d'exploration,20/30 min,"Phrase chorégraphique solo, travail de l'interprétation personnelle - trouver SA façon de danser","Variété française (Barbara, Gainsbourg, Souchon), jazz, contemporain, pop mondiale. Sélection de musiques qui racontent quelque chose",Tenue adaptée au style de la séance. En général : tenue de danse contemporaine souple. Pieds nus ou chaussures.,0,cours dance solo Villeneuve d'Ascq,,Cours de dance solo tous styles à Villeneuve d'Ascq. Expression libre et créativité.,,Cours de dance solo tous styles à Villeneuve d'Ascq. Expression libre et créativité.,
Danse de caractère,danse-de-caractere,,danse-solo,lea,05day,19h,20h,,Prévoir une tenue et chaussures adaptées au cours,"Un style théâtral et puissant qui puise dans les traditions du monde entier pour les réinventer. On travaille ta présence scénique, ton expressivité et ton intention dramatique. C'est un cours riche en émotions où chaque geste raconte une histoire forte.",On découvre d'abord les bases de la posture et les différents folklores revisités. Puis on construit une narration gestuelle en travaillant l'expression du regard et des bras. L'année se clôture par une pièce de caractère complète avec costumes et mise en scène.,10 min,"Étirements dramatiques : extensions des bras, rotations de la tête et des épaules, enroulements expressifs du torse",20/30 min,"Techniques de caractère : frappes de pieds, portés de jambe style folk, travail des poignets et des mains expressives",20/30 min,"Séquence de caractère avec intention dramatique forte - chaque geste raconte quelque chose, le danseur est aussi acteur","Musiques dramatiques et expressives : flamenco (Paco de Lucía), musique folklorique (Gotan Project), tango (Piazzolla), slaves",Chaussures à talon (character shoes) recommandées. Jupe de caractère fluide et large.,0,cours danse de caractere Lille,,Cours de danse de caractère à Villeneuve d'Ascq. Style scénique et intention dramatique.,,Cours de danse de caractère à Villeneuve d'Ascq. Style scénique et intention dramatique.,
Heels,heels-debutants,Débutants,danse-solo,lea,05day,20h,21h,,Prévoir une tenue et chaussures adaptées au cours,"Bien plus qu'un cours de danse : c'est un boost de confiance en soi ! Apprends à te mouvoir avec grâce et puissance sur talons hauts. On travaille la posture, la sensualité et l'attitude pour que tu te sentes belle et puissante à chaque pas. Toutes les morphologies sont les bienvenues.","On commence par renforcer les chevilles et trouver son équilibre sur talons. Au deuxième trimestre, on aborde les premiers mouvements fluides et le travail au sol simple. L'année se finit sur une chorégraphie empowerment pour affirmer ta féminité.",10 min,"Renforcement cheville et mollet, travail de l'équilibre sur demi-pointe, activation des muscles stabilisateurs de la cheville",20/30 min,"Marche en heels (technique du 'modèle'), body rolls, hip circles, transfert de poids progressif sur le talon",20/30 min,Courte séquence de heels avec attitude et confiance - l'objectif est de se sentir puissante et belle,"R&B sensuel (Beyoncé, Ciara, Normani), slow pop (The Weeknd, SZA), reggaeton féminin, afrobeats sensuels",Chaussures à talon (5 à 10 cm) dédiées uniquement à la salle. Aucune pointure de ville pleine de boue.,0,cours de heels Villeneuve d'Ascq,,Cours de heels (danse sur talons) débutants à Villeneuve d'Ascq. Confiance et féminité.,,Cours de heels (danse sur talons) débutants à Villeneuve d'Ascq. Confiance et féminité.,
Heels,heels-intermediaires,Intermédiaires,danse-solo,lea,05day,21h,22h,,Prévoir une tenue et chaussures adaptées au cours,"Pour celles qui sont déjà à l'aise sur talons et veulent passer au niveau supérieur. Floor work complexe, drops, extensions et chorégraphies de show : on va chercher la performance et l'impact scénique. Prépare-toi à un challenge physique et artistique intense !",On pousse le renforcement et le style dès la rentrée. Puis on s'attaque à des figures complexes au sol et à des enchaînements rapides. L'année aboutit sur une chorégraphie de show complète pour briller comme si tu étais sur scène.,10 min,"Activation musculaire en heels, travail de la souplesse (splits, ouvertures de hanche), équilibre avancé sur talon",20/30 min,"Techniques avancées : floor work en heels, kicks contrôlés, arabesques portées, drops avec protection",20/30 min,"Chorégraphie de show complète en heels : énergie, impact, performance - vous êtes la star","Pop urbaine sensuelle (Doja Cat, Cardi B), R&B élaboré (FKA Twigs, Tinashe), house vocale, reggaeton de scène",Heels de 8 à 12 cm. Tenue à semelle renforcée. Vêtements moulants.,0,cours heels intermediaires Villeneuve d'Ascq,,"Cours de heels intermédiaire à Villeneuve d'Ascq. Floor work, performances, style affirmé.",,"Cours de heels intermédiaire à Villeneuve d'Ascq. Floor work, performances, style affirmé.",
Comédie musicale,comedie-musicale,,danse-solo,asmy,06day,18h,19h,,Prévoir une tenue et chaussures adaptées au cours,"Plonge dans l'univers de Broadway ! On mélange danse jazz, jeu d'acteur et présence scénique sur les plus grands succès des comédies musicales. C'est un cours complet et ultra-joyeux pour ceux qui aiment le spectacle et veulent vivre l'expérience de la scène.",On s'imprègne d'abord du style Broadway avec les bases du jazz de comédie musicale. Puis on apprend un numéro complet mêlant danse et intention dramatique. L'année se finit sur une mise en scène pleine d'énergie avec costumes et lumières.,10 min,"Préparation vocale et corporelle : vocalises simples, articulation, projection, puis réchauffement physique jazz",20/30 min,"Technique jazz de Broadway : kickline, jazz runs, bals, travail du comedy timing physique",20/30 min,Numéro de comédie musicale complet : danse + texte + interprétation - le groupe joue une vraie scène,"Comédies musicales classiques (Grease, Cabaret, Chicago) et modernes (Hamilton, Moulin Rouge), orchestrations grandes formations",Tenue de danse confortable pour les répétitions. Chaussures de jazz ou character shoes recommandées.,0,cours comedie musicale Villeneuve d'Ascq,,"Cours de comédie musicale à Villeneuve d'Ascq. Danse, expression scénique, numéros de Broadway.",,"Cours de comédie musicale à Villeneuve d'Ascq. Danse, expression scénique, numéros de Broadway.",
Urban contemporain,urban-contemporain,,danse-solo,alexia,07day,18h,19h,,Prévoir une tenue et chaussures adaptées au cours,"La rencontre entre la poésie du contemporain et l'énergie brute du hip-hop. On te guide vers un mouvement libre, ancré et expressif. On joue avec les élans, le contact au sol et la musicalité pour créer une danse organique qui vient du cœur.",On explore les fondamentaux de la chute et du poids au premier trimestre. Puis on complexe le travail au sol et la composition collective. L'année se termine par une création chorégraphique semi-improvisée pour habiter ton mouvement différemment.,10 min,"Scan corporel en mouvement, articulations lentes, enroulements vertébraux, mobilisation du bassin et des épaules",20/30 min,"Travail des qualités de mouvement : état de flot, contraction-release, levels (sol-mi-hauteur), impulsion et rebond",20/30 min,"Phrase de mouvement construite collectivement ou proposée, laissant place à l'interprétation individuelle","Électronique expérimentale, ambient (Nils Frahm), hip-hop conscient (Kendrick Lamar), soul atmosphérique","Tenue confortable et ample permettant le travail au sol : legging, jogging large, t-shirt ou sweat. Pieds nus.",0,cours urban contemporain Villeneuve d'Ascq,,Cours d'urban contemporain à Villeneuve d'Ascq. Fusion hip-hop et contemporain. Expression libre.,,Cours d'urban contemporain à Villeneuve d'Ascq. Fusion hip-hop et contemporain. Expression libre.,
Free Style & Improvisation,free-style-et-improvisation,,danse-solo,alexia,07day,19h,20h,,Prévoir une tenue et chaussures adaptées au cours,"Un espace de liberté totale pour explorer ta propre danse. Ici, pas de chorégraphie imposée : on te donne des outils, des jeux et des défis créatifs pour libérer ton vocabulaire gestuel. C'est l'occasion idéale de lâcher prise et de partager une expérience unique avec les autres.","On commence par découvrir ses propres réflexes de mouvement à travers des exercices guidés. Puis on travaille sur la musicalité et la réponse à l'espace ou au partenaire. L'année se conclut par la création de ta 'phrase signature' personnelle, nourrie de tout ton parcours.",10 min,"Mise en route sensorielle : marche consciente, jeu avec la gravité, écoute de son corps et de l'espace",20/30 min,"Improvisations structurées : en solo, en duo, avec contraintes de temps, d'espace, de qualité - des outils pour libérer la créativité",20/30 min,"Pas de chorégraphie fixe mais une 'composition' collective : chacun apporte quelque chose, le groupe crée ensemble","Tout est possible : jazz, électro, silence, voix, world music, hip-hop instrumental, contemporain","Tenue de votre choix, en accord avec ce que vous ressentez ce soir-là. Pieds nus sur le parquet ou chaussures de danse.",0,cours improvisation danse Villeneuve d'Ascq,,"Cours de free style et improvisation à Villeneuve d'Ascq. Tous styles, liberté totale.",,"Cours de free style et improvisation à Villeneuve d'Ascq. Tous styles, liberté totale.",
